month,year,clients
december,2015,5.43
march,2013,4.18
july,2019,5.02
july,2018,5.67
october,2017,9.15
october,2018,9.39
june,2008,8.94
february,2016,7.17
march,2016,8.23
april,2014,5.3
august,2017,9.36
january,2012,9.98
december,2011,4.4
december,2012,5.28
december,2012,9.66
may,2019,7.32
january,2008,9.82
august,2010,4.47
february,2013,6.56
august,2015,4.65
december,2013,7.82
march,2011,7.29
august,2010,9.06
november,2012,7.72
june,2012,5.92
june,2011,6.38
october,2009,6.99
march,2017,9.57
august,2018,9.79
march,2009,8.99
august,2009,5.48
april,2017,9.68
september,2016,6.84
december,2008,8.07
june,2014,5.44
february,2012,5.18
september,2019,6.01
may,2013,4.45
march,2014,9.59
april,2012,6.92
july,2014,9.56
february,2015,7.64
august,2008,8.28
april,2012,5.53
february,2013,5.85
september,2008,6.89
october,2014,6.79
march,2010,6.7
december,2009,9.54
january,2015,9.41
march,2012,5.01
october,2017,9.79
september,2010,8.56
september,2011,9.8
december,2019,6.05
august,2012,4.6
september,2012,9.38
april,2014,8.75
october,2012,6.43
november,2019,5.64
july,2018,6.14
june,2019,7.53
june,2011,7.54
july,2018,7.25
december,2016,9.87
september,2012,7.12
june,2011,4.22
december,2011,7.1
april,2011,4.78
august,2019,5.01
may,2012,5.36
july,2015,7.64
may,2015,8.97
february,2012,9.93
july,2013,7.25
august,2009,9.06
december,2013,6.2
august,2012,4.98
february,2013,4.44
may,2013,4.55
march,2013,8.49
march,2012,9.13
august,2016,4.72
june,2017,8.94
october,2011,9.09
february,2017,6.84
august,2014,9.69
june,2013,5.58
october,2015,6.4
april,2011,4.36
august,2015,7.44
june,2016,7.74
november,2019,9.68
october,2015,6.6
september,2019,8.58
august,2015,8.97
march,2009,7.6
july,2011,9.26
october,2008,5.25
april,2013,4.31
october,2016,9.9
january,2017,7.02
december,2017,5.68
september,2017,5.55
february,2010,5.22
june,2010,7.0
february,2010,6.8
october,2018,5.79
october,2016,5.68
october,2010,4.72
september,2011,4.89
april,2015,4.47
august,2012,7.72
january,2017,6.21
february,2013,9.93
june,2008,7.72
may,2014,8.26
august,2015,8.54
december,2019,8.19
march,2017,4.94
february,2016,4.98
september,2009,4.13
january,2012,9.68
april,2015,9.21
february,2019,4.8
august,2018,9.92
may,2017,6.67
may,2017,6.2
february,2018,4.18
may,2014,7.88
march,2008,4.84
april,2012,8.39
september,2008,4.76
october,2017,9.9
